Chinese,Pinyin,English
挺（副）,tǐng,very; quite; pretty; rather
挺好,tǐng hǎo,very good; not half bad
通,tōng,through; common; all; understand; expert
通过,tōngguò,adopt
通知,tōngzhī,notice
同时,tóngshí,meanwhile
同事,tóngshì,Colleague
同样,tóng yàng,same
头（名、量）,tóu,head; beginning or end; side; (measure word)
头（里头）,tóu,suffix (inside)
头发,tóufa,Hair
图片,tú piàn,picture; photograph
推,tuī,push
腿,tuǐ,leg
外地,wài dì,other places; nonlocal
外卖,wài mài,takeaway; take out
完,wán,finish
完成,wánchéng,complete
完全,wánquán,completely
晚安,wǎn ān,good night
晚报,wǎn bào,evening paper; evening news
晚餐,wǎn cān,dinner; supper
晚会,wǎn huì,evening party
碗,wǎn,bowl
万,wàn,"ten
thousand"
网,wǎng,net; network
网球,wǎngqiú,Tennis
网站,wǎngzhàn,website
往,wǎng,to
为,wèi,by
为什么,wèishénme,Why
位,wèi,"person
(measure word)"
味道,wèidào,taste
喂（叹）,wèi,hello; hey
温度,wēndù,temperature
闻,wén,smell
问路,wèn lù,ask for directions
问题,wèntí,problem
午餐,wǔ cān,lunch
午睡,wǔ shuì,nap
西北,xī běi,northwest
西餐,xī cān,western food
西方,xī fāng,west
西南,xī nán,southwest
西医,xī yī,western medicine
习惯,xíguàn,Habit
洗衣机,xǐ yī jī,washing machine
洗澡,xǐzǎo,"Take
a shower"
下（量）,xià,(measure word)
下雪,xià xuě,snow; snowing
下周,xià zhōu,next week
夏天,xià tiān,summer
相同,xiāngtóng,identical
相信,xiāngxìn,believe
响,xiǎng,loud 
想到,xiǎng dào,think of; call to mind; have at heart
想法,xiǎng fǎ,idea; opinion;thought
想起,xiǎng qǐ,remember; recall; think of; call to mind
向,xiàng,towards
相机,xiàng jī,camera
像（动）,xiàng,be like; resemble; look like; such as
小（小王）,xiǎo （ xiǎo wáng ）,prefix (Xiao Wang)
小声,xiǎo shēng,in a low voice; in whispers
小时候,xiǎo shí hou,in one’s childhood; when one was young
小说,xiǎoshuō,Novel
小心,xiǎoxīn,"Look
out"
小组,xiǎo zǔ,group
校园,xiào yuán,campus; schoolyard
校长,xiàozhǎng,Principal
笑话,xiàohua,joke
笑话儿,xiào huàr,joke
鞋,xié,shoes
心里,xīn lǐ,in the heart; at heart
心情,xīnqíng,mood
心中,xīn zhōng,in the heart; at heart; in mind
新闻,xīnwén,news
信（名）,xìn,letter; mail; faith
信号,xìnhào,signal
信息,xìnxī,information
信心,xìnxīn,confidence
信用卡,xìnyòngkǎ,"Credit
card"
星星,xīng xing,star
行动,xíngdòng,"Get
some action"
行人,xíngrén,pedestrian
行为,xíngwéi,behavior
姓,xìng,surname
姓名,xìng míng,full name
休假,xiū jià,have a holiday; take a vacation; be on furlough
许多,xǔduō,many
选,xuǎn,choose; select; pick
学期,xuéqī,Semester
雪,xuě,Snow
颜色,yánsè,colour
眼,yǎn,eye
眼睛,yǎnjing,Eye
养,yǎng,raise; keep; support; cultivate
样子,yàngzi,"A
look"
要求,yāoqiú,Requirement
药,yào,drug
药店,yào diàn,pharmacy
药片,yào piàn,pill
药水,yào shuǐ,liquid medicine; potion
也许,yěxǔ,perhaps
夜,yè,night
夜里,yè lǐ,at night
一部分,yí bù fèn,a part; a portion
一定,yídìng,Certain
一共,yígòng,Altogether
一会儿（副）,yí huìr,awhile; in a moment; presently
一路平安,yí lù píng ān,safe journey; have a pleasant journey
一路顺风,yí lù shùn fēng,Bon voyage
已经,yǐjīng,Already
以后,yǐ hòu,after; later on; afterwards; later
以前,yǐqián,before
以上,yǐ shàng,above; over
以外,yǐ wài,beyond; outside; other than; except
以为,yǐwéi,Think
以下,yǐ xià,below; under
椅子,yǐzi,Chair
一般,yìbān,commonly
一点点,yì diǎn diǎn,a little bit
一生,yì shēng,lifetime; all one’s life
一直,yìzhí,always
亿,yì,Billion
意见,yìjiàn,Opinion
意思,yìsi,Meaning
因为,yīn wèi,because
阴,yīn,Yin
阴天,yīn tiān,cloudy day; overcast sky
音节,yīn jié,syllable
音乐,yīnyuè,Music
音乐会,yīn yuè huì,concert
银行,yínháng,Bank
银行卡,yín háng kǎ,bank card
应该,yīnggāi,Should
英文,yīng wén,English
英语,yīng yǔ,English
影片,yǐng piàn,film; movie
影响,yǐngxiǎng,Influence
永远,yǒngyuǎn,forever
油,yóu,oil; fat; grease
游客,yóu kè,tourist; visitor
友好,yǒuhǎo,friendly
有空儿,yǒu kòngr,be free; at leisure
有人,yǒu rén,someone; there’s someone
有（一）点儿,yǒu （ yì ） diǎnr,a little bit
有意思,yǒu yì si,interesting; significant
又,yòu,also
鱼,yú,fish
语言,yǔyán,language
原来,yuánlái,"Original;
formerly"
原因,yuányīn,Reason
院,yuàn,yard; compound; courtyard; college
院长,yuàn zhǎng,dean
院子,yuàn zi,courtyard; yard
愿意,yuànyì,"Be
willing"
月份,yuè fèn,month
月亮,yuèliang,Moon
越,yuè,"The
more"
越来越,yuè lái yuè,more and more
云,yún,cloud
运动,yùndòng,motion
咱,zán,we; us
咱们,zánmen,We
脏,zāng,dirty
早餐,zǎo cān,breakfast
早晨,zǎo chén,morning
早就,zǎo jiù,long since
怎么办,zěn me bàn,how to; what to do
怎么样,zěnmeyàng,"How
about"
怎样,zěn yàng,how
占,zhàn,occupy
站（动）,zhàn,stand; stop; halt
站住,zhàn zhù,stop; halt
长,zhǎng,grow
长大,zhǎng dà,grow up
找出,zhǎo chū,find out
照顾,zhàogù,"look
after"
照片,zhàopiàn,Photo
照相,zhào xiàng,take a picture; take a photograph
这么,zhè me,so; such; this way; like this
这时候｜这时,zhè shí hou ｜ zhè shí,at this moment; at this time
这样,zhè yàng,so; such; like this; this way
真正,zhēnzhèng,real
正常,zhèngcháng,normal
正好,zhènghǎo,"Just
right"
正确,zhèngquè,Correct
正是,zhèng shì,exactly
直接,zhíjiē,direct
只,zhǐ,only; just; simply; merely
只能,zhǐ néng,can only
只要,zhǐyào,"as
long as"
纸,zhǐ,paper
中餐,zhōng cān,Chinese food
中级,zhōng jí,intermediate; middle-level
中年,zhōng nián,middle age; middle-aged
中小学,zhōng xiǎo xué,elementary and middle school
中心,zhōngxīn,core
中医,zhōng yī,Chinese Medicine
重点,zhòngdiǎn,"A
key"
重视,zhòngshì,"attach
importance to"
周,zhōu,week
周末,zhōumò,Weekend
周年,zhōunián,anniversary
主人,zhǔrén,master
主要,zhǔyào,main
住房,zhù fáng,housing; lodging
住院,zhù yuàn,be in hospital; be hospitalized
装,zhuāng,pretend
准确,zhǔnquè,accuracy
自己,zìjǐ,"Own,
self"
自行车,zìxíngchē,Bicycle
自由,zìyóu,free
字典,zì diǎn,dictionary
走过,zǒu guò,walk through; pass by
走进,zǒu jìn,walk in
走开,zǒu kāi,go away
租,zū,rent
组,zǔ,group
组成,zǔchéng,Form
组长,zǔ zhǎng,group leader
嘴,zuǐ,mouth
最近,zuìjìn,Lately
作家,zuòjiā,writer
作文,zuòwén,composition
作业,zuòyè,"task,
homework"
作用,zuòyòng,Effect
座,zuò,Seat
座位,zuòwèi,seat
做到,zuò dào,accomplish; achieve
做法,zuò fǎ,practice; behavior; way of doing a thing
爱心,àixīn,love
安排,ānpái,arrange
安装,ānzhuāng,install
按,àn,press; push; check; restrain
按照,ànzhào,according to
把（介）,bǎ,(particle marking the following noun as a direct object)
把（量）,bǎ,(measure word)
把握,bǎwò,grasp
白（副）,bái,without results; in vain; waste efforts
白菜,bái cài,Chinese cabbage
班级,bān jí,class
搬,bān,turn; move
搬家,bān jiā,move; move house
板,bǎn,board; plank; shutter
办理,bànlǐ,handle
保,bǎo,defend; protect; keep; guarantee; ensure
保安,bǎo ān,security guard; public security; ensure safety
保持,bǎochí,keep
保存,bǎocún,Preservation
保护,bǎohù,protect
保留,bǎoliú,Retain
保险,bǎoxiǎn,Insurance
保证,bǎozhèng,ensure
报（名）,bào,newspaper; periodical; journal; report; telegram
报到,bàodào,"register,check in"
报道,bàodào,report
报告,bàogào,Presentation
背,bèi,Back
北部,běi bù,north
背（名）,bèi,back of the body; back side of an object
背后,bèi hòu,behind; at the back; in the rear
被,bèi,cover
被子,bèizi,quilt
本来,běnlái,originally
本领,běnlǐng,ability
本事,běnshi,Skill
比较,bǐjiào,compare
比例,bǐlì,Proportion
比赛,bǐsài,Match
必然,bìrán,Inevitable
必要,bìyào,necessary
变化,biànhuà,change
变为,biàn wéi,become; turn into; change into
标题,biāotí,title; heading
标准,biāozhǔn,standard
表达,biǎodá,Expression
表格,biǎogé,form
表面,biǎomiàn,surface
表明,biǎomíng,Indicate
表现,biǎoxiàn,performance
表演,biǎoyǎn,perform
并（副、连）,bìng,and; also; equally; simultaneously; side by side
并且,bìngqiě,also
播出,bō chū,broadcast; on the air
播放,bōfàng,play
不必,bú bì,need not; not have to
不断,búduàn,Constantly
不论,bú lùn,whether; no matter; whether … or
补,bǔ,repair; mend; patch; supply; make up for
补充,bǔchōng,supplement
不安,bù’ān,Uneasy
不得不,bùdébù,Cannot but
不光,bù guāng,not only
不仅,bùjǐn,not only
布,bù,cloth
步,bù,step; stage; walk; foot
部,bù,unit; ministry; department;  part; section
部门,bùmén,department
部长,bù zhǎng,minister; head of a department
才能,cái néng,talent; ability; gift
采取,cǎiqǔ,"take, adpopt"
采用,cǎi yòng,put to use; adopt; use; employ
彩色,cǎi sè,multicolour; colour
曾经,céngjīng,once
产生,chǎnshēng,produce
长城,Chángchéng,The Great Wall
长处,cháng chù,strength; forte; strong point
长期,cháng qī,over a long period of time; long-term
厂,chǎng,factory; mill; plant; works
场合,chǎnghé,occasion
场所,chǎngsuǒ,place
超级,chāojí,super
朝,cháo,towards
吵,chǎo,Noisy
吵架,chǎojià,quarrel
衬衫,chènshān,shirt
衬衣,chèn yī,shirt
称为,chēng wéi,call; be called; be known as
成功,chénggōng,Success
成果,chéngguǒ,Achievements
成就,chéngjiù,achievement
成立,chénglì,establish
成熟,chéngshú,mature
成员,chéngyuán,member
成长,chéngzhǎng,Grow up
城,chéng,city; town
城市,chéngshì,City
程度,chéngdù,degree
持续,chíxù,Continued
充满,chōngmǎn,full of 
重,zhòng,heavy
初,chū,beginning; start; basis; at the beginning of
初（初一）,chū （chū yī）,prefix (first grade of junior high school )
初步,chūbù,preliminary
初级,chūjí,primary
初中,chū zhōng,junior high school
除了,chúle,except
处理,chǔlǐ,Handle
传,chuán,pass; pass on; hand down; impart; spread; transmit
传播,chuánbō,spread
传来,chuán lái,came; come through
传说,chuánshuō,Legend
创新,chuàngxīn,innovate
创业,chuàngyè,carve out
创造,chuàngzào,create
创作,chuàngzuò,A literary creation
从来,cónglái,Always
从前,cóngqián,before
从事,cóngshì,Be engaged in
村,cūn,village; hamlet
存,cún,Deposit
存在,cúnzài,existence
错误,cuòwù,error
达到,dádào,Achieve
打破,dǎ pò,break; smash
打听,dǎting,Inquire
大概,dàgài,Probably
大使馆,dàshǐguǎn,Embassy
大约,dàyuē,about
大夫,dàifu,Doctor
代,dài,substitute; replace; take the place of
代表,dàibiǎo,representative
代表团,dài biǎo tuán,delegation; mission; deputation
带动,dài dòng,drive; spur
带领,dàilǐng,lead
单元,dānyuán,unit
当初,dāngchū,Original
当地,dāngdì,Local
当然,dāngrán,Of course
当中,dāng zhōng,among; in the middle; in the centre
刀,dāo,knife
导演,dǎoyǎn,director
到达,dàodá,Arrive
到底,dàodǐ,To the end
得分,dé fēn,score
等待,děngdài,wait for
底下,dǐ xià,under; below; beneath
地区,dìqū,region
电视剧,diàn shì jù,TV series; television drama
电视台,diàn shì tái,TV station
电台,diàntái,radio station
电子邮件,diànzǐyóujiàn,E-mail
调,diào,transfer; shift; move
调查,diàochá,investigation
订,dìng,conclude; draw up; order; revise
定期,dìngqī,regular
东部,dōng bù,east
动力,dònglì,"power, motivation"
动人,dòng rén,moving; touching
读者,dú zhě,reader
短处,duǎn chù,shortcoming; demerit
短裤,duǎn kù,shorts
短期,duǎn qī,short term
断,duàn,break
队员,duì yuán,team member
对待,duìdài,treat
对方,duìfāng,Other party
对手,duìshǒu,Opponent
对象,duìxiàng,object
顿,dùn,Meal
发表,fābiǎo,Publish
发出,fā chū,issue; send out; give off; emit
发达,fādá,developed
发动,fādòng,Launch
发明,fāmíng,Invention
发生,fāshēng,Happen
发送,fā sòng,send; transmit; dispatch; ship; forward
发言,fāyán,speak
发展,fāzhǎn,Development
反对,fǎnduì,Opposition
反复,fǎnfù,Repeatedly
反应,fǎnyìng,reaction
反正,fǎnzhèng,anyway
范围,fànwéi,Range
方式,fāngshì,mode
防,fáng,guard against; defend
防止,fángzhǐ,Prevent
房东,fángdōng,landlord
房屋,fáng wū,houses; buildings; tenement
房租,fáng zū,rent
访问,fǎngwèn,Visit
放到,fàng dào,put to; put into
飞行,fēi xíng,flight; flying
费,fèi,fee; cost
费用,fèi yòng,cost; expenses; outlay
分别,fēnbié,part
分配,fēnpèi,distribution
分组,fēn zǔ,grouping
丰富,fēngfù,rich
风险,fēngxiǎn,risk
否定,fǒudìng,negative
否认,fǒurèn,deny
服装,fúzhuāng,costume; dress
福,fú,blessing; good fortune
父母,fù mǔ,father and mother; parents
父亲,fùqīn,father
付,fù,pay; commit; hand over
负责,fùzé,Be responsible for
复印,fùyìn,To copy
复杂,fùzá,complex
富,fù,rich
改进,gǎijìn,Improvement
改造,gǎi zào,transform; reform
概念,gàiniàn,concept
赶,gǎn,catch up with
赶到,gǎn dào,arrived; get to
赶紧,gǎnjǐn,Quickly
赶快,gǎnkuài,Come on
敢,gǎn,dare
感冒,gǎnmào,Cold
感情,gǎnqíng,feeling
感受,gǎnshòu,feel
干吗,gàn má,Why
高速,gāo sù,high speed
高速公路,gāosùgōnglù,Expressway
告别,gàobié,farewell
歌迷,gē mí,fan
歌声,gē shēng,singing
歌手,gē shǒu,singer; vocalist
个人,gèrén,personal
个性,gèxìng,personality
各,gè,various
各地,gè dì,various regions; everywhere
各位,gè wèi,everybody
各种,gè zhǒng,all kinds; various; every kind
各自,gèzì,Each
根本,gēnběn,at all
更加,gèng jiā,more; even more
工厂,gōngchǎng,factory
工程师,gōngchéngshī,Engineer
工夫,gōng fu,time
工具,gōngjù,tool
工业,gōngyè,Industry
工资,gōngzī,wages
公布,gōngbù,Publish
公共,gōng gòng,public; common; community
公开,gōngkāi,open
公民,gōngmín,citizen
公务员,gōng wù yuán,civil servant; public functionary
功夫,gōngfu,Kungfu
功课,gōng kè,homework; schoolwork; classwork
功能,gōngnéng,function
共同,gòngtóng,common
共有,gòng yǒu,have altogether; share; owned by all
姑娘,gūniang,girl
古,gǔ,ancient; old
古代,gǔdài,Ancient
故乡,gùxiāng,Hometown
挂,guà,hang
关系,guānxì,relationship
关注,guān zhù,attention; follow with interest; pay close attention; show solicitude for
观察,guānchá,observation
观看,guān kàn,watch; view
观念,guānniàn,concept
观众,guānzhòng,Audience
管,guǎn,control; be in charge of; manage; run
管理,guǎnlǐ,Administration
光,guāng,light
光明,guāngmíng,light
广播,guǎngbō,Radio broadcast
广大,guǎngdà,Vast
规定,guīdìng,Regulations
规范,guīfàn,criterion; rule
国内,guó nèi,domestic; internal
国庆,guó qìng,National Day
果然,guǒrán,Sure enough
果汁,guǒzhī,fruit juice
过程,guòchéng,process
过去（名）,guò qù,past; old; foretime
哈哈,hā hā,ha-ha
海关,hǎiguān,Customs
害怕,hàipà,Fear
行,háng,row，line
好好,hǎo hǎo,"really good, really nice"
好奇,hàoqí,Be curious
合,hé,close; shut; be equal to; add up to; join
合法,héfǎ,legitimate
合格,hégé,qualified
合理,hélǐ,reasonable
合作,hézuò,cooperation
和平,hépíng,peace
红茶,hóng chá,black tea
红酒,hóng jiǔ,red wine
后果,hòuguǒ,Consequence
后面,hòumiàn,behind
后年,hòu nián,the year after next
互联网,hùliánwǎng,Internet
互相,hùxiāng,each other
划船,huá chuán,row; paddle a boat; go boating
华人,huá rén,Chinese; ethnic Chinese
化（现代化）,huà （xiàn dài huà）,suffix (modernize; modernization)
话剧,huà jù,drama
话题,huàtí,Topic of conversation
欢乐,huānlè,Happy
环,huán,ring; loop; link; annulus
环保,huán bǎo,environmental protection
环境,huánjìng,Environment
会议,huìyì,Meeting
会员,huì yuán,membership
活,huó,live; save; work; living; alive
火（名）,huǒ,fire; anger; temper
机器,jīqì,machine
积极,jījí,positive
基本,jīběn,basic
基本上,jī běn shàng,basically
基础,jīchǔ,Basics
及时,jíshí,timely
…极了,… jí le,extremely; exceedingly
集体,jítǐ,collective
集中,jízhōng,focus
计算,jìsuàn,Calculation
记录,jìlù,Record
记者,jìzhě,Reporter
纪录,jìlù,Record
纪念,jìniàn,Anniversary
技术,jìshù,technology
继续,jìxù,Continue
加工,jiāgōng,machining
加快,jiā kuài,speed up; accelerate
加强,jiā qiáng,strengthen; reinforce
家具,jiājù,furniture
家属,jiāshǔ,family members
家乡,jiāxiāng,Hometown
价格,jiàgé,Price
价钱,jià qián,price
价值,jiàzhí,value
架,jià,frame; rack; shelf; stand
坚持,jiānchí,Insist
坚决,jiānjué,firm
坚强,jiānqiáng,Firm
简单,jiǎndān,simple
简直,jiǎnzhí,simply
建,jiàn,build; construct; erect; establish; set up; found
建成,jiàn chéng,built up
建立,jiànlì,establish
建设,jiànshè,build
建议,jiànyì,proposal
将近,jiāngjìn,nearly
将来,jiānglái,future
交费,jiāo fèi,pay
交警,jiāo jǐng,traffic police
交流,jiāoliú,Communication
交往,jiāowǎng,affiliate with
交易,jiāoyì,transaction
叫（介）,jiào,(preposition)
较,jiào,compare; comparatively; relatively; fairly; quite; rather
教材,jiàocái,teaching material
教练,jiàoliàn,coach
结实,jiēshi,strong
接待,jiēdài,Reception
接近,jiējìn,near
节约,jiéyuē,save
结合,jiéhé,Combination
结婚,jiéhūn,marry
结束,jiéshù,End
解决,jiějué,Solve
解开,jiě kāi,undo; untie; unfasten; unbutton
金,jīn,gold
金牌,jīn pái,gold medal
仅,jǐn,only; merely; barely
仅仅,jǐn jǐn,only; merely; barely
尽量,jǐnliàng,as far as possible
紧,jǐn,tight; close; urgent; strict
紧急,jǐnjí,urgent
紧张,jǐnzhāng,Nervous
进步,jìnbù,progress
进一步,jìn yí bù,go a step further; further
进展,jìnzhǎn,evolve; get along
近期,jìn qī,recent
京剧,jīngjù,Beijing opera
经济,jīngjì,Economics
经历,jīnglì,experience
经验,jīngyàn,experience
经营,jīngyíng,Management
精彩,jīngcǎi,Marvellous
精神,jīngshén,"spirit, mind"
精神,jīngshen,"lively, vigour"
景色,jǐngsè,scenery
警察,jǐngchá,Police
静,jìng,silent; quiet; calm
久,jiǔ,long
旧,jiù,used
救,jiù,save
就是,jiù shì,precisely; exactly; just like
就业,jiùyè,take up an occupation
举办,jǔbàn,hold
具体,jùtǐ,specific
具有,jù yǒu,possess; have; be provided with
剧场,jù chǎng,theater
据说,jùshuō,allegedly
决定,juédìng,Decision
决赛,juésài,Finals
决心,juéxīn,Determination
绝对,juéduì,Absolutely
咖啡,kāfēi,Coffee
开发,kāifā,Development
开放,kāifàng,To open up
开始,kāishǐ,start
开业,kāi yè,start business; open a private practice
开展,kāizhǎn,Develop
看起来,kàn qǐ lái,look like
看上去,kàn shàng qù,seem
考验,kǎoyàn,test
科技,kē jì,science and technology
可靠,kěkào,reliable
可乐,kě lè,coke; cola
克服,kèfú,Overcome
客观,kèguān,objective
课程,kèchéng,curriculum
空,kōng,empty
空调,kōngtiáo,Air conditioner
恐怕,kǒngpà,I’m afraid
空儿,kòngr,free time
裤子,kùzi,trousers
快速,kuài sù,fast; high-speed
困,kùn,sleepy
困难,kùnnán,difficulty
浪费,làngfèi,Waste
老百姓,lǎobǎixìng,Ordinary people
老板,lǎobǎn,Boss
老太太,lǎo tài tai,old lady
老头儿,lǎo tóur,old man
乐,lè,happy; laugh; cheerful
乐观,lèguān,optimistic
类,lèi,class; category; kind; type
类似,lèisì,Similar
离婚,líhūn,divorce
里面,lǐ miàn,inside; interior
理发,lǐfà,Haircut
理解,lǐjiě,Understand
理论,lǐlùn,theory
理由,lǐyóu,Reason
力,lì,power; force
力量,lìliàng,Power
立刻,lìkè,immediately
利用,lìyòng,utilize
连,lián,even
连忙,liánmáng,Hurriedly
连续,liánxù,serial 
连续剧,lián xù jù,series; soap opera
联合,liánhé,union
联合国,lián hé guó,United Nations
联系,liánxì,contact
凉水,liáng shuǐ,cold water; unboiled water
了,le,past tense marker
领,lǐng,lead; receive; get; understand
领导,lǐngdǎo,Leader
领先,lǐngxiān,keep ahead
另外,lìngwài,in addition
另一方面,lìng yì fāng miàn,on the other hand
留学,liúxué,Overseas Study
龙,lóng,dragon
录,lù,record; write down; copy
录音,lùyīn,Sound recording
路线,lù xiàn,path; route; way; line
旅馆,lǚ guǎn,hotel
旅行社,lǚ xíng shè,travel agency
绿茶,lǜ chá,green tea
乱,luàn,chaos
落后,luòhòu,backward
麻烦,máfan,trouble
马,mǎ,Horse
满足,mǎnzú,satisfy
慢慢,màn màn,slowly
毛（名）,máo,a fractional unit of money in China; hair; fur
毛病,máobìng,Trouble
没用,méi yòng,useless
媒体,méitǐ,media
每,měi,each
美,měi,beautiful; pretty
美好,měi hǎo,fine; happy; glorious
美丽,měilì,beautiful
美食,měi shí,delicious food ; gourmet
美术,měishù,Fine Arts
美元,měi yuán,U.S. dollar
迷,mí,fan; confused; be crazy about
米（名）,mǐ,meter; rice
面对,miànduì,Face
面积,miànjī,The measure of area
民间,mínjiān,nongovernmental
民族,mínzú,Nation
明确,míngquè,To make clear
明显,míngxiǎn,obvious
命运,mìngyùn,fate
某,mǒu,some
母亲,mǔqīn,mother
木头,mùtou,wood
目标,mùbiāo,target
目前,mùqián,at present
奶茶,nǎi chá,milk tea
男子,nán zǐ,man; male
南部,nán bù,south
难道,nándào,could it be said that …
难度,nán dù,difficulty
内,nèi,within
内容,nèiróng,content
内心,nèi xīn,heart; inner centre
能不能,néng bù néng,can or not
能力,nénglì,ability
年初,nián chū,beginning of the year
年代,niándài,years
年底,nián dǐ,end of the year
年纪,niánjì,Age
念,niàn,Read
牛（名）,niú,cattle; ox; cow
农村,nóngcūn,countryside
农民,nóngmín,farmer
农业,nóngyè,Agriculture
女子,nǚ zǐ,woman; female
暖和,nuǎnhuo,warm
怕（副）,pà,perhaps; afraid
拍,pāi,beat
排（动）,pái,arrange; put in order; exclude; rehearse
排名,pái míng,rank
牌子,pái zi,brand; trademark; plate; sign
派,pài,send
判断,pànduàn,judge
胖,pàng,fat
跑步,pǎobù,Run
配,pèi,match; mix; join; fit
配合,pèihé,Coordination
批评,pīpíng,criticism
批准,pīzhǔn,Approval
皮,pí,skin; leather; fur; cover; sheet
皮包,pí bāo,purse; briefcase; portfolio
啤酒,píjiǔ,Beer
票价,piào jià,ticket price; fare
评价,píngjià,evaluation
苹果,píngguǒ,Apple
破,pò,broken
破坏,pòhuài,Destruction
普遍,pǔbiàn,universal
普及,pǔjí,Universal
期,qī,period; time; term; expect
齐,qí,together; uniform; neat; be level with
其次,qícì,Secondly
其实,qíshí,actually
奇怪,qíguài,strange
气候,qìhòu,climate
千万,qiānwàn,Must
前后,qián hòu,front and back; from start to finish; around
前进,qián jìn,advance; go forward; march
前面,qiánmiàn,Front
前往,qián wǎng,go to; leave for; proceed
强,qiáng,strong; powerful; better
强大,qiáng dà,powerful; formidable; strong
强调,qiángdiào,Emphasize
强烈,qiángliè,strong
桥,qiáo,Bridge
巧,qiǎo,opportunely; skilful; deceitful
亲,qīn,dear; close; intimate; relative
亲切,qīnqiè,kind
亲人,qīn rén,relative
亲自,qīnzì,personally
情感,qíng gǎn,feeling; emotion
情况,qíngkuàng,Situation
请教,qǐngjiào,Consult
庆祝,qìngzhù,Celebrate
球迷,qiúmí,fans (ball game)
区,qū,area; district; region
区别,qūbié,Difference
取消,qǔxiāo,cancel
去世,qùshì,Death
全场,quán chǎng,the whole audience
全面,quánmiàn,comprehensive
全球,quán qiú,global; the whole world
缺,quē,be short of; lack
缺点,quēdiǎn,shortcoming
缺少,quēshǎo,Lack
确保,quèbǎo,ensure
确定,quèdìng,Determine
确实,quèshí,Exactly
裙子,qúnzi,skirt
群,qún,group
热爱,rè’ài,Ardently love
热烈,rèliè,warm
人才,réncái,talented person
人工,réngōng,artificial
人类,rénlèi,Human beings
人民,rén mín,people
人民币,rénmínbì,RMB
人群,rén qún,crowd; throng
人生,rénshēng,Life
人员,rényuán,personnel
认出,rèn chū,recognize; identify; make out
认得,rèn dé,know; recognize
认可,rènkě,certificate; ratify
任（动）,rèn,appoint; assign
任（连）,rèn,"no matter (how, what, etc.)"
任何,rènhé,"whatever, any"
任务,rènwu,task
仍,réng,still; remain; yet
仍然,réngrán,still
日常,rìcháng,daily
容易,róngyì,easily
如何,rúhé,How
散步,sànbù,Take a walk
沙发,shāfā,Sofa
沙子,shā zi,sand; grit
伤,shāng,hurt; be harmful; be distressed; get sick of
伤心,shāngxīn,Sad
商品,shāngpǐn,commodity
商业,shāngyè,business
上来,shàng lái,come up
上面,shàng miàn,above; on top of
上去,shàng qù,go up
上升,shàng shēng,rise; go up
上衣,shàng yī,upper outer garment; jacket; coat
设备,shèbèi,equipment
设计,shèjì,Design
设立,shèlì,Establish
社会,shèhuì,Socioty
身份证,shēn fèn zhèng,ID card
深,shēn,deep
深刻,shēnkè,profound
深入,shēn rù,go deep into; thorough
升,shēng,rise
生（形）,shēng,unripe; green; living; raw; unfamiliar
生产,shēngchǎn,production
生存,shēngcún,Existence
生动,shēngdòng,vivid
生命,shēngmìng,life
生意,shēngyi,business
生长,shēngzhǎng,grow
声明,shēngmíng,statement
胜,shèng,win; defeat; beat; can bear; be superior
胜利,shènglì,victory
失去,shīqù,Lose
石头,shítou,stone
石油,shíyóu,petroleum
时,shí,time; times; hour; season; tense
时代,shídài,times
时刻,shíkè,time
实际上,shí jì shàng,actually
实力,shílì,Strength
实行,shíxíng,Implement
实验,shíyàn,Experiment
实验室,shí yàn shì,laboratory
食品,shí pǐn,food; foodstuff
使,shǐ,make
始终,shǐzhōng,Throughout
世纪,shìjì,century
世界,shìjiè,world
世界杯,shì jiè bēi,World Cup
市场,shìchǎng,market
事故,shìgù,Accident
事件,shìjiàn,Event
事实,shìshí,Fact
事实上,shì shí shàng,in fact; actually
事业,shìyè,career
试题,shì tí,test questions
试验,shìyàn,test
适合,shìhé,Fit
适应,shìyìng,Adapt
适用,shì yòng,be applicable; be suitable
室,shì,room
收费,shōu fèi,collect fees; charge
收看,shōu kàn,watch
收听,shōu tīng,listen to; listen in
收音机,shōuyīnjī,radio
手续,shǒuxù,procedures
手指,shǒuzhǐ,finger
首都,shǒudū,capital
首先,shǒuxiān,First
受,shòu,be subjecte; suffer; receive; accept; stand
受伤,shòushāng,Injured
书架,shūjià,bookshelf
输,shū,lose
输入,shūrù,import; input
熟人,shú rén,acquaintance
属,shǔ,be born in the year of (one of the twelve animals); belong
属于,shǔyú,belong to
束,shù,beam
数量,shùliàng,quantity
双,shuāng,double
双方,shuāngfāng,both sides
思想,sīxiǎng,thought
死,sǐ,die
速度,sùdù,speed
随,suí,follow; comply with; adapt
所（名、量）,suǒ,place; office; spot; (measure word)
所长,suǒ zhǎng,superintendent
台,tái,platform
谈,tán,talk
谈话,tán huà,conversation; talk; chat
谈判,tánpàn,negotiation
汤,tāng,soup
糖,táng,sugar
特色,tèsè,characteristic
提前,tíqián,Advance
提问,tíwèn,Put questions to
题目,tímù,subject
体会,tǐhuì,Experience
体现,tǐxiàn,Reflect
体验,tǐyàn,experience; taste
天空,tiānkōng,sky
甜,tián,sweet
调,tiáo,suit well; mix; adjust; fit in perfectly
调整,tiáozhěng,adjustment
跳,tiào,jump; leap; skip; bounce
跳高,tiào gāo,high jump
跳舞,tiàowǔ,dance
跳远,tiào yuǎn,long jump; broad jump
铁,tiě,iron
铁路,tiě lù,railway; railroad
